date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2024-10-29,600111.XSHG,北方稀土,700.0,20.93,16.719,14651.0
2024-10-29,600138.XSHG,中青旅,900.0,10.19,9.7342,9171.0
2024-10-30,300142.XSHE,沃森生物,200.0,14.73,14.9639,2946.0
2024-10-30,300122.XSHE,智飞生物,200.0,28.43,44.0614,5686.0
2024-10-30,000069.XSHE,华侨城A,10500.0,2.89,2.5819,30345.0
2024-10-30,600085.XSHG,同仁堂,100.0,40.05,40.9513,4005.0
2024-10-30,000895.XSHE,双汇发展,1000.0,25.26,23.8667,25260.0
2024-10-30,600535.XSHG,天士力,900.0,15.04,13.1912,13536.0
2024-10-30,600887.XSHG,伊利股份,800.0,26.44,23.1709,21152.0
2024-10-30,600016.XSHG,民生银行,4900.0,3.82,3.4737,18718.0
2024-10-30,000725.XSHE,京东方A,3200.0,4.52,3.8136,14464.0
2024-10-30,002033.XSHE,丽江股份,800.0,8.77,8.6477,7016.0
2024-10-30,600111.XSHG,北方稀土,700.0,21.12,16.719,14784.0
2024-10-30,600138.XSHG,中青旅,700.0,10.23,9.7342,7161.0
2024-10-31,300142.XSHE,沃森生物,200.0,14.75,14.9639,2950.0
2024-10-31,300122.XSHE,智飞生物,200.0,28.38,44.0614,5676.0
2024-10-31,000069.XSHE,华侨城A,10500.0,2.96,2.5819,31080.0
2024-10-31,600085.XSHG,同仁堂,100.0,39.6,40.9513,3960.0
2024-10-31,000895.XSHE,双汇发展,1000.0,24.88,23.8667,24880.0
2024-10-31,600535.XSHG,天士力,900.0,14.96,13.1912,13464.0
2024-10-31,600887.XSHG,伊利股份,800.0,27.91,23.1709,22328.0
2024-10-31,600016.XSHG,民生银行,4900.0,3.78,3.4737,18522.0
2024-10-31,000725.XSHE,京东方A,2900.0,4.67,3.8136,13543.0
2024-10-31,002033.XSHE,丽江股份,700.0,8.8,8.6477,6160.0
2024-10-31,600111.XSHG,北方稀土,700.0,21.46,16.719,15022.0
2024-10-31,600138.XSHG,中青旅,600.0,10.14,9.7342,6084.0
2024-11-01,300142.XSHE,沃森生物,200.0,14.21,14.9639,2842.0
2024-11-01,300122.XSHE,智飞生物,200.0,28.25,44.0614,5650.0
2024-11-01,000069.XSHE,华侨城A,10500.0,2.93,2.5819,30765.0
2024-11-01,600085.XSHG,同仁堂,100.0,40.4,40.9513,4040.0
2024-11-01,000895.XSHE,双汇发展,1000.0,24.85,23.8667,24850.0
2024-11-01,600535.XSHG,天士力,900.0,14.9,13.1912,13410.0
2024-11-01,600887.XSHG,伊利股份,800.0,28.3,23.1709,22640.0
2024-11-01,600016.XSHG,民生银行,4900.0,3.79,3.4737,18571.0
2024-11-01,000725.XSHE,京东方A,2900.0,4.46,3.8136,12934.0
2024-11-01,002033.XSHE,丽江股份,500.0,8.64,8.6477,4320.0
2024-11-01,600111.XSHG,北方稀土,700.0,23.61,16.719,16527.0
2024-11-01,600138.XSHG,中青旅,500.0,10.07,9.7342,5035.0
2024-11-04,300142.XSHE,沃森生物,200.0,14.51,14.9639,2902.0
2024-11-04,300122.XSHE,智飞生物,200.0,28.72,44.0614,5744.0
2024-11-04,000069.XSHE,华侨城A,10500.0,2.89,2.5819,30345.0
2024-11-04,600085.XSHG,同仁堂,100.0,40.21,40.9513,4021.0
2024-11-04,000895.XSHE,双汇发展,1000.0,24.9,23.8667,24900.0
2024-11-04,600535.XSHG,天士力,900.0,15.14,13.1912,13626.0
2024-11-04,600887.XSHG,伊利股份,800.0,28.86,23.1709,23088.0
2024-11-04,600016.XSHG,民生银行,4900.0,3.82,3.4737,18718.0
2024-11-04,000725.XSHE,京东方A,2900.0,4.5,3.8136,13050.0
2024-11-04,002033.XSHE,丽江股份,700.0,8.82,8.7084,6174.0
2024-11-04,600111.XSHG,北方稀土,100.0,23.85,16.719,2385.0
2024-11-04,600138.XSHG,中青旅,500.0,10.18,9.7342,5090.0
2024-11-05,300142.XSHE,沃森生物,200.0,15.13,14.9639,3026.0
2024-11-05,300122.XSHE,智飞生物,200.0,29.64,44.0614,5928.0
2024-11-05,000069.XSHE,华侨城A,10500.0,3.02,2.5819,31710.0
2024-11-05,600085.XSHG,同仁堂,100.0,40.72,40.9513,4072.0
2024-11-05,000895.XSHE,双汇发展,1000.0,25.08,23.8667,25080.0
2024-11-05,600535.XSHG,天士力,900.0,15.29,13.1912,13761.0
2024-11-05,600887.XSHG,伊利股份,800.0,29.07,23.1709,23256.0
2024-11-05,600016.XSHG,民生银行,4900.0,3.87,3.4737,18963.0
2024-11-05,000725.XSHE,京东方A,2900.0,4.62,3.8136,13398.0
2024-11-05,002033.XSHE,丽江股份,600.0,8.96,8.7084,5376.0
2024-11-05,600138.XSHG,中青旅,500.0,10.32,9.7342,5160.0
2024-11-06,300142.XSHE,沃森生物,200.0,15.08,14.9639,3016.0
2024-11-06,300122.XSHE,智飞生物,200.0,29.34,44.0614,5868.0
2024-11-06,000069.XSHE,华侨城A,10500.0,3.18,2.5819,33390.0
2024-11-06,600085.XSHG,同仁堂,100.0,40.84,40.9513,4084.0
2024-11-06,000895.XSHE,双汇发展,1000.0,24.94,23.8667,24940.0
2024-11-06,600535.XSHG,天士力,900.0,15.2,13.1912,13680.0
2024-11-06,600887.XSHG,伊利股份,800.0,28.9,23.1709,23120.0
2024-11-06,600016.XSHG,民生银行,4800.0,3.87,3.4737,18576.0
2024-11-06,000725.XSHE,京东方A,2900.0,4.57,3.8136,13253.0
2024-11-06,002033.XSHE,丽江股份,600.0,9.02,8.7084,5412.0
2024-11-06,600138.XSHG,中青旅,500.0,10.36,9.7342,5180.0
2024-11-07,300142.XSHE,沃森生物,200.0,15.63,14.9639,3126.0
2024-11-07,300122.XSHE,智飞生物,200.0,30.64,44.0614,6128.0
2024-11-07,000069.XSHE,华侨城A,10300.0,3.4,2.5819,35020.0
2024-11-07,600085.XSHG,同仁堂,100.0,42.28,40.9513,4228.0
2024-11-07,000895.XSHE,双汇发展,1000.0,25.68,23.8667,25680.0
2024-11-07,600535.XSHG,天士力,900.0,15.85,13.1912,14265.0
2024-11-07,600887.XSHG,伊利股份,800.0,30.2,23.1709,24160.0
2024-11-07,600016.XSHG,民生银行,4800.0,3.96,3.4737,19008.0
2024-11-07,000725.XSHE,京东方A,2900.0,4.66,3.8136,13514.0
2024-11-07,002033.XSHE,丽江股份,600.0,9.3,8.7084,5580.0
2024-11-07,600138.XSHG,中青旅,500.0,10.67,9.7342,5335.0
2024-11-08,300142.XSHE,沃森生物,200.0,15.52,14.9639,3104.0
2024-11-08,300122.XSHE,智飞生物,200.0,30.57,44.0614,6114.0
2024-11-08,000069.XSHE,华侨城A,10300.0,3.19,2.5819,32857.0
2024-11-08,600085.XSHG,同仁堂,100.0,42.69,40.9513,4269.0
2024-11-08,000895.XSHE,双汇发展,1000.0,25.44,23.8667,25440.0
2024-11-08,600535.XSHG,天士力,900.0,15.74,13.1912,14166.0
2024-11-08,600887.XSHG,伊利股份,800.0,30.13,23.1709,24104.0
2024-11-08,600016.XSHG,民生银行,4700.0,3.93,3.4737,18471.0
2024-11-08,000725.XSHE,京东方A,2900.0,4.63,3.8136,13427.0
2024-11-08,002033.XSHE,丽江股份,600.0,9.24,8.7084,5544.0
2024-11-08,600138.XSHG,中青旅,500.0,10.62,9.7342,5310.0
2024-11-11,300142.XSHE,沃森生物,200.0,16.3,14.9639,3260.0
2024-11-11,300122.XSHE,智飞生物,200.0,31.42,44.0614,6284.0
2024-11-11,000069.XSHE,华侨城A,10300.0,3.11,2.5819,32033.0
2024-11-11,600085.XSHG,同仁堂,100.0,42.94,40.9513,4294.0
2024-11-11,000895.XSHE,双汇发展,1000.0,25.26,23.8667,25260.0
2024-11-11,600535.XSHG,天士力,900.0,15.66,13.1912,14094.0
2024-11-11,600887.XSHG,伊利股份,800.0,30.01,23.1709,24008.0
2024-11-11,600016.XSHG,民生银行,4700.0,3.93,3.4737,18471.0
2024-11-11,000725.XSHE,京东方A,2900.0,4.66,3.8136,13514.0
2024-11-11,002033.XSHE,丽江股份,600.0,9.17,8.7084,5502.0
2024-11-11,600138.XSHG,中青旅,500.0,10.59,9.7342,5295.0
2024-11-12,300142.XSHE,沃森生物,200.0,16.59,14.9639,3318.0
2024-11-12,300122.XSHE,智飞生物,200.0,32.89,44.0614,6578.0
2024-11-12,000069.XSHE,华侨城A,10300.0,3.07,2.5819,31621.0
2024-11-12,600085.XSHG,同仁堂,100.0,42.54,40.9513,4254.0
2024-11-12,000895.XSHE,双汇发展,900.0,25.39,23.8667,22851.0
2024-11-12,600535.XSHG,天士力,900.0,15.72,13.1912,14148.0
