dt,trade_date,order_book_id,event_type,quantity,price,cash_value,realized_pnl,layer,batch_id,sub_id,pending_id,stage,source,note
2024-04-08 15:30:00,2024-04-08,000069.XSHE,carryover_batch_created,200,2.72,544.0,0.0,,000069.XSHE-B00150,,,,day1_plus,pending forward buys merged into new batch
2024-04-08 15:30:00,2024-04-08,600085.XSHG,carryover_batch_created,100,40.81,4081.0,0.0,,600085.XSHG-B00155,,,,day1_plus,pending forward buys merged into new batch
2024-04-08 15:30:00,2024-04-08,300122.XSHE,carryover_batch_created,200,44.13,8826.0,0.0,,300122.XSHE-B00159,,,,day1_plus,pending forward buys merged into new batch
2024-04-09 09:38:00,2024-04-09,600085.XSHG,buy_attempt_fill,100,40.84,4084.0000000000005,0.0,,,,600085.XSHG-FTB-00068,,day1_plus,
2024-04-09 09:49:00,2024-04-09,300122.XSHE,buy_attempt_fill,100,44.45,4445.0,0.0,,,,300122.XSHE-FTB-00069,,day1_plus,
2024-04-09 09:58:00,2024-04-09,600030.XSHG,buy_attempt_fill,100,18.92,1892.0000000000002,0.0,,,,600030.XSHG-FTB-00070,,day1_plus,
2024-04-09 09:58:00,2024-04-09,300122.XSHE,forward_t_success,100,45.19,4519.0,66.74049999999949,,,,300122.XSHE-FTB-00069,,day1_plus,buy_avg=44.4500
2024-04-09 10:04:00,2024-04-09,600030.XSHG,buy_attempt_fill,100,18.9,1889.9999999999998,0.0,,,,600030.XSHG-FTB-00071,,day1_plus,
2024-04-09 10:53:00,2024-04-09,000069.XSHE,buy_attempt_fill,200,2.68,536.0,0.0,,,,000069.XSHE-FTB-00072,,day1_plus,
2024-04-09 15:30:00,2024-04-09,000069.XSHE,carryover_batch_created,200,2.68,536.0,0.0,,000069.XSHE-B00178,,,,day1_plus,pending forward buys merged into new batch
2024-04-09 15:30:00,2024-04-09,600085.XSHG,carryover_batch_created,100,40.84,4084.0000000000005,0.0,,600085.XSHG-B00183,,,,day1_plus,pending forward buys merged into new batch
2024-04-09 15:30:00,2024-04-09,600030.XSHG,carryover_batch_created,200,18.91,3782.0,0.0,,600030.XSHG-B00193,,,,day1_plus,pending forward buys merged into new batch
2024-04-10 09:40:00,2024-04-10,000069.XSHE,buy_attempt_fill,300,2.66,798.0,0.0,,,,000069.XSHE-FTB-00074,,day1_plus,
2024-04-10 09:53:00,2024-04-10,600085.XSHG,buy_attempt_fill,100,42.23,4223.0,0.0,,,,600085.XSHG-FTB-00075,,day1_plus,
2024-04-10 14:34:00,2024-04-10,600030.XSHG,buy_attempt_fill,100,18.41,1841.0,0.0,,,,600030.XSHG-FTB-00076,,day1_plus,
2024-04-10 14:48:00,2024-04-10,300142.XSHE,buy_attempt_fill,100,14.97,1497.0,0.0,,,,300142.XSHE-FTB-00077,,day1_plus,
2024-04-10 15:30:00,2024-04-10,000069.XSHE,carryover_batch_created,300,2.66,798.0,0.0,,000069.XSHE-B00206,,,,day1_plus,pending forward buys merged into new batch
2024-04-10 15:30:00,2024-04-10,600085.XSHG,carryover_batch_created,100,42.23,4223.0,0.0,,600085.XSHG-B00211,,,,day1_plus,pending forward buys merged into new batch
2024-04-10 15:30:00,2024-04-10,300142.XSHE,carryover_batch_created,100,14.97,1497.0,0.0,,300142.XSHE-B00216,,,,day1_plus,pending forward buys merged into new batch
2024-04-10 15:30:00,2024-04-10,600030.XSHG,carryover_batch_created,100,18.41,1841.0,0.0,,600030.XSHG-B00221,,,,day1_plus,pending forward buys merged into new batch
2024-04-11 10:09:00,2024-04-11,601318.XSHG,buy_attempt_fill,100,38.67,3867.0,0.0,,,,601318.XSHG-FTB-00078,,day0,
2024-04-11 10:58:00,2024-04-11,600030.XSHG,buy_attempt_fill,100,18.37,1837.0,0.0,,,,600030.XSHG-FTB-00079,,day1_plus,
2024-04-11 13:38:00,2024-04-11,601318.XSHG,buy_attempt_fill,100,38.86,3886.0,0.0,,,,601318.XSHG-FTB-00080,,day0,
2024-04-11 13:44:00,2024-04-11,000069.XSHE,buy_attempt_fill,200,2.61,522.0,0.0,,,,000069.XSHE-FTB-00081,,day1_plus,
2024-04-11 13:47:00,2024-04-11,300142.XSHE,buy_attempt_fill,100,14.84,1484.0,0.0,,,,300142.XSHE-FTB-00082,,day1_plus,
2024-04-11 15:30:00,2024-04-11,000069.XSHE,carryover_batch_created,200,2.61,522.0,0.0,,000069.XSHE-B00234,,,,day1_plus,pending forward buys merged into new batch
2024-04-11 15:30:00,2024-04-11,300142.XSHE,carryover_batch_created,100,14.84,1484.0,0.0,,300142.XSHE-B00244,,,,day1_plus,pending forward buys merged into new batch
2024-04-11 15:30:00,2024-04-11,601318.XSHG,carryover_batch_created,200,38.765,7753.0,0.0,,601318.XSHG-B00248,,,,day0,pending forward buys merged into new batch
2024-04-11 15:30:00,2024-04-11,600030.XSHG,carryover_batch_created,100,18.37,1837.0,0.0,,600030.XSHG-B00249,,,,day1_plus,pending forward buys merged into new batch
2024-04-12 09:42:00,2024-04-12,000069.XSHE,buy_attempt_fill,300,2.58,774.0,0.0,,,,000069.XSHE-FTB-00084,,day1_plus,
2024-04-12 09:44:00,2024-04-12,600085.XSHG,buy_attempt_fill,100,41.44,4144.0,0.0,,,,600085.XSHG-FTB-00085,,day1_plus,
2024-04-12 09:50:00,2024-04-12,601318.XSHG,buy_attempt_fill,100,37.78,3778.0,0.0,,,,601318.XSHG-FTB-00086,,day1_plus,
2024-04-12 09:54:00,2024-04-12,000069.XSHE,buy_attempt_fill,300,2.58,774.0,0.0,,,,000069.XSHE-FTB-00087,,day1_plus,
2024-04-12 11:23:00,2024-04-12,000069.XSHE,buy_attempt_fill,200,2.56,512.0,0.0,,,,000069.XSHE-FTB-00088,,day1_plus,
2024-04-12 13:03:00,2024-04-12,601318.XSHG,buy_attempt_fill,100,37.69,3769.0,0.0,,,,601318.XSHG-FTB-00089,,day1_plus,
2024-04-12 13:31:00,2024-04-12,600030.XSHG,buy_attempt_fill,100,18.2,1820.0,0.0,,,,600030.XSHG-FTB-00090,,day1_plus,
2024-04-12 14:44:00,2024-04-12,300142.XSHE,buy_attempt_fill,100,14.38,1438.0,0.0,,,,300142.XSHE-FTB-00091,,day1_plus,
2024-04-12 15:30:00,2024-04-12,000069.XSHE,carryover_batch_created,800,2.575,2060.0,0.0,,000069.XSHE-B00262,,,,day1_plus,pending forward buys merged into new batch
2024-04-12 15:30:00,2024-04-12,600085.XSHG,carryover_batch_created,100,41.44,4144.0,0.0,,600085.XSHG-B00267,,,,day1_plus,pending forward buys merged into new batch
2024-04-12 15:30:00,2024-04-12,300142.XSHE,carryover_batch_created,100,14.38,1438.0,0.0,,300142.XSHE-B00272,,,,day1_plus,pending forward buys merged into new batch
2024-04-12 15:30:00,2024-04-12,601318.XSHG,carryover_batch_created,200,37.735,7547.0,0.0,,601318.XSHG-B00276,,,,day1_plus,pending forward buys merged into new batch
2024-04-12 15:30:00,2024-04-12,600030.XSHG,carryover_batch_created,100,18.2,1820.0,0.0,,600030.XSHG-B00277,,,,day1_plus,pending forward buys merged into new batch
2024-04-15 09:42:00,2024-04-15,000069.XSHE,buy_attempt_fill,300,2.54,762.0,0.0,,,,000069.XSHE-FTB-00092,,day1_plus,
2024-04-15 09:43:00,2024-04-15,600030.XSHG,buy_attempt_fill,100,17.49,1748.9999999999998,0.0,,,,600030.XSHG-FTB-00093,,day1_plus,
2024-04-15 09:44:00,2024-04-15,601318.XSHG,buy_attempt_fill,100,37.77,3777.0000000000005,0.0,,,,601318.XSHG-FTB-00094,,day1_plus,
2024-04-15 09:44:00,2024-04-15,600085.XSHG,buy_attempt_fill,100,40.64,4064.0,0.0,,,,600085.XSHG-FTB-00095,,day1_plus,
2024-04-15 09:47:00,2024-04-15,300142.XSHE,buy_attempt_fill,100,14.48,1448.0,0.0,,,,300142.XSHE-FTB-00096,,day1_plus,
2024-04-15 09:50:00,2024-04-15,600030.XSHG,buy_attempt_fill,100,17.44,1744.0000000000002,0.0,,,,600030.XSHG-FTB-00097,,day1_plus,
2024-04-15 13:03:00,2024-04-15,600030.XSHG,buy_attempt_fill,100,17.66,1766.0,0.0,,,,600030.XSHG-FTB-00098,,day1_plus,
2024-04-15 13:05:00,2024-04-15,600030.XSHG,forward_t_success,100,17.79,1779.0,29.11049999999979,,,,600030.XSHG-FTB-00097,,day1_plus,buy_avg=17.4400
2024-04-15 13:17:00,2024-04-15,600030.XSHG,buy_attempt_fill,100,17.71,1771.0,0.0,,,,600030.XSHG-FTB-00099,,day1_plus,
2024-04-15 13:19:00,2024-04-15,600030.XSHG,forward_t_success,100,17.88,1788.0,33.10600000000006,,,,600030.XSHG-FTB-00093,,day1_plus,buy_avg=17.4900
2024-04-15 14:27:00,2024-04-15,000069.XSHE,buy_attempt_fill,400,2.51,1003.9999999999999,0.0,,,,000069.XSHE-FTB-00101,,day1_plus,
2024-04-15 15:30:00,2024-04-15,000069.XSHE,carryover_batch_created,700,2.5228571428571427,1765.9999999999998,0.0,,000069.XSHE-B00290,,,,day1_plus,pending forward buys merged into new batch
2024-04-15 15:30:00,2024-04-15,600085.XSHG,carryover_batch_created,100,40.64,4064.0,0.0,,600085.XSHG-B00295,,,,day1_plus,pending forward buys merged into new batch
2024-04-15 15:30:00,2024-04-15,300142.XSHE,carryover_batch_created,100,14.48,1448.0,0.0,,300142.XSHE-B00300,,,,day1_plus,pending forward buys merged into new batch
2024-04-15 15:30:00,2024-04-15,601318.XSHG,carryover_batch_created,100,37.77,3777.0000000000005,0.0,,601318.XSHG-B00304,,,,day1_plus,pending forward buys merged into new batch
2024-04-15 15:30:00,2024-04-15,600030.XSHG,carryover_batch_created,200,17.685,3536.9999999999995,0.0,,600030.XSHG-B00305,,,,day1_plus,pending forward buys merged into new batch
2024-04-16 09:38:00,2024-04-16,601318.XSHG,buy_attempt_fill,100,38.4,3840.0,0.0,,,,601318.XSHG-FTB-00102,,day1_plus,
2024-04-16 09:40:00,2024-04-16,600030.XSHG,buy_attempt_fill,100,17.76,1776.0000000000002,0.0,,,,600030.XSHG-FTB-00103,,day1_plus,
2024-04-16 09:42:00,2024-04-16,000069.XSHE,buy_attempt_fill,400,2.47,988.0000000000001,0.0,,,,000069.XSHE-FTB-00104,,day1_plus,
2024-04-16 09:54:00,2024-04-16,600030.XSHG,buy_attempt_fill,100,17.82,1782.0,0.0,,,,600030.XSHG-FTB-00105,,day1_plus,
2024-04-16 10:09:00,2024-04-16,300142.XSHE,buy_attempt_fill,100,14.03,1403.0,0.0,,,,300142.XSHE-FTB-00106,,day1_plus,
2024-04-16 10:18:00,2024-04-16,000069.XSHE,buy_attempt_fill,400,2.47,988.0000000000001,0.0,,,,000069.XSHE-FTB-00107,,day1_plus,
2024-04-16 10:27:00,2024-04-16,000069.XSHE,buy_attempt_fill,400,2.46,984.0,0.0,,,,000069.XSHE-FTB-00108,,day1_plus,
2024-04-16 13:32:00,2024-04-16,600030.XSHG,buy_attempt_fill,100,17.71,1771.0,0.0,,,,600030.XSHG-FTB-00110,,day1_plus,
2024-04-16 14:07:00,2024-04-16,601318.XSHG,buy_attempt_fill,100,38.33,3833.0,0.0,,,,601318.XSHG-FTB-00111,,day1_plus,
2024-04-16 14:37:00,2024-04-16,600030.XSHG,buy_attempt_fill,100,17.69,1769.0000000000002,0.0,,,,600030.XSHG-FTB-00112,,day1_plus,
2024-04-16 14:48:00,2024-04-16,600085.XSHG,buy_attempt_fill,100,41.08,4108.0,0.0,,,,600085.XSHG-FTB-00113,,day1_plus,
2024-04-16 15:30:00,2024-04-16,000069.XSHE,carryover_batch_created,1200,2.466666666666667,2960.0,0.0,,000069.XSHE-B00318,,,,day1_plus,pending forward buys merged into new batch
2024-04-16 15:30:00,2024-04-16,600085.XSHG,carryover_batch_created,100,41.08,4108.0,0.0,,600085.XSHG-B00323,,,,day1_plus,pending forward buys merged into new batch
2024-04-16 15:30:00,2024-04-16,300142.XSHE,carryover_batch_created,100,14.03,1403.0,0.0,,300142.XSHE-B00328,,,,day1_plus,pending forward buys merged into new batch
2024-04-16 15:30:00,2024-04-16,601318.XSHG,carryover_batch_created,200,38.365,7673.0,0.0,,601318.XSHG-B00332,,,,day1_plus,pending forward buys merged into new batch
2024-04-16 15:30:00,2024-04-16,600030.XSHG,carryover_batch_created,400,17.745,7098.0,0.0,,600030.XSHG-B00333,,,,day1_plus,pending forward buys merged into new batch
2024-04-17 09:38:00,2024-04-17,600030.XSHG,buy_attempt_fill,100,17.48,1748.0,0.0,,,,600030.XSHG-FTB-00114,,day1_plus,
2024-04-17 09:44:00,2024-04-17,600030.XSHG,buy_attempt_fill,100,17.54,1754.0,0.0,,,,600030.XSHG-FTB-00115,,day1_plus,
2024-04-17 09:48:00,2024-04-17,000069.XSHE,buy_attempt_fill,400,2.43,972.0000000000001,0.0,,,,000069.XSHE-FTB-00116,,day1_plus,
2024-04-17 09:55:00,2024-04-17,000069.XSHE,buy_attempt_fill,400,2.42,968.0,0.0,,,,000069.XSHE-FTB-00117,,day1_plus,
