datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2026-03-06 09:39:00,2026-03-06 09:39:00,2026-03-06 09:39:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630048,0.0,5,100,11.41,17755077630048,5.0
2026-03-06 09:40:00,2026-03-06 09:40:00,2026-03-06 09:40:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630049,0.0,5,100,9.73,17755077630049,5.0
2026-03-06 09:43:00,2026-03-06 09:43:00,2026-03-06 09:43:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630050,0.0,5,100,15.8,17755077630050,5.0
2026-03-06 09:44:00,2026-03-06 09:44:00,2026-03-06 09:44:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630051,0.0,5,100,9.72,17755077630051,5.0
2026-03-06 09:44:00,2026-03-06 09:44:00,2026-03-06 09:44:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630052,0.0,5,100,11.47,17755077630052,5.0
2026-03-06 09:44:00,2026-03-06 09:44:00,2026-03-06 09:44:00,600016.XSHG,民生银行,BUY,OPEN,17755077630053,0.0,5,200,3.84,17755077630053,5.0
2026-03-06 09:54:00,2026-03-06 09:54:00,2026-03-06 09:54:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630054,0.0,5,100,9.73,17755077630054,5.0
2026-03-06 09:55:00,2026-03-06 09:55:00,2026-03-06 09:55:00,600315.XSHG,上海家化,BUY,OPEN,17755077630055,0.0,5,100,20.48,17755077630055,5.0
2026-03-06 09:58:00,2026-03-06 09:58:00,2026-03-06 09:58:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630056,0.0,5,100,15.87,17755077630056,5.0
2026-03-06 09:59:00,2026-03-06 09:59:00,2026-03-06 09:59:00,600887.XSHG,伊利股份,BUY,OPEN,17755077630057,0.0,5,100,25.82,17755077630057,5.0
2026-03-06 10:07:00,2026-03-06 10:07:00,2026-03-06 10:07:00,600016.XSHG,民生银行,BUY,OPEN,17755077630058,0.0,5,200,3.84,17755077630058,5.0
2026-03-06 10:10:00,2026-03-06 10:10:00,2026-03-06 10:10:00,300122.XSHE,智飞生物,SELL,CLOSE,17755077630059,0.8035,5,100,16.07,17755077630059,5.8035
2026-03-06 10:10:00,2026-03-06 10:10:00,2026-03-06 10:10:00,300142.XSHE,沃森生物,SELL,CLOSE,17755077630060,0.5815,5,100,11.63,17755077630060,5.5815
2026-03-06 10:14:00,2026-03-06 10:14:00,2026-03-06 10:14:00,600315.XSHG,上海家化,BUY,OPEN,17755077630061,0.0,5,100,20.44,17755077630061,5.0
2026-03-06 10:18:00,2026-03-06 10:18:00,2026-03-06 10:18:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630062,0.0,5,100,16.02,17755077630062,5.0
2026-03-06 11:02:00,2026-03-06 11:02:00,2026-03-06 11:02:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630063,0.0,5,100,9.77,17755077630063,5.0
2026-03-06 13:02:00,2026-03-06 13:02:00,2026-03-06 13:02:00,600161.XSHG,天坛生物,BUY,OPEN,17755077630064,0.0,5,100,15.75,17755077630064,5.0
2026-03-06 13:04:00,2026-03-06 13:04:00,2026-03-06 13:04:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630065,0.0,5,100,9.78,17755077630065,5.0
2026-03-06 13:39:00,2026-03-06 13:39:00,2026-03-06 13:39:00,600030.XSHG,中信证券,BUY,OPEN,17755077630066,0.0,5,100,26.32,17755077630066,5.0
2026-03-06 13:54:00,2026-03-06 13:54:00,2026-03-06 13:54:00,300142.XSHE,沃森生物,SELL,CLOSE,17755077630067,0.5835,5,100,11.67,17755077630067,5.5835
2026-03-06 14:17:00,2026-03-06 14:17:00,2026-03-06 14:17:00,600315.XSHG,上海家化,BUY,OPEN,17755077630068,0.0,5,100,20.5,17755077630068,5.0
2026-03-06 14:48:00,2026-03-06 14:48:00,2026-03-06 14:48:00,600315.XSHG,上海家化,BUY,OPEN,17755077630069,0.0,5,100,20.5,17755077630069,5.0
2026-03-09 09:44:00,2026-03-09 09:44:00,2026-03-09 09:44:00,600161.XSHG,天坛生物,BUY,OPEN,17755077630070,0.0,5,100,15.92,17755077630070,5.0
2026-03-09 09:44:00,2026-03-09 09:44:00,2026-03-09 09:44:00,600016.XSHG,民生银行,BUY,OPEN,17755077630071,0.0,5,200,3.85,17755077630071,5.0
2026-03-09 09:44:00,2026-03-09 09:44:00,2026-03-09 09:44:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630072,0.0,5,100,11.58,17755077630072,5.0
2026-03-09 09:48:00,2026-03-09 09:48:00,2026-03-09 09:48:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630073,0.0,5,100,16.03,17755077630073,5.0
2026-03-09 09:48:00,2026-03-09 09:48:00,2026-03-09 09:48:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630074,0.0,5,100,9.86,17755077630074,5.0
2026-03-09 09:48:00,2026-03-09 09:48:00,2026-03-09 09:48:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630075,0.0,5,100,11.61,17755077630075,5.0
